,Regularized_logistic_regression,Random_forest_regression,XGBoost_regression,NN_regression
Regularized_logistic_regression,1.0,0.657142857142857,0.5428571428571428,0.6749999999999999
Random_forest_regression,0.657142857142857,1.0,0.9178571428571428,0.7749999999999999
XGBoost_regression,0.5428571428571428,0.9178571428571428,1.0,0.8285714285714284
NN_regression,0.6749999999999999,0.7749999999999999,0.8285714285714284,1.0
