Combination,XGB_Weight,RF_Weight,NN_Weight,GLM_Weight,MAE,R2
XGB+RF+NN+GLM,0.65,0.25,0.05,0.05,0.03211144170784969,0.7054002017483539
XGB+RF+NN,0.65,0.30000000000000004,0.0,0.05,0.03209720071373248,0.7061638067957946
XGB+RF,0.65,0.30000000000000004,0.05,0.0,0.0319121559905075,0.7061755675403071
XGB+RF+GLM,0.65,0.35000000000000003,0.0,0.0,0.03190839965045786,0.7066005327356892
XGB+NN+GLM,0.9,0.0,0.0,0.1,0.03266292554371747,0.7008410921292536
XGB+NN,0.9,0.0,0.05,0.05,0.032477017747942365,0.7008175294745203
XGB+GLM,0.9,0.0,0.1,0.0,0.03235960545492646,0.6998969038800344
XGB,1.0,0.0,0.0,0.0,0.03251738274909032,0.6986654392438041
