GLM_R2,GLM_MAE
0.4809281595500703,0.041851688338825965
0.5538058768164922,0.04205320970256816
0.48511669068986807,0.04424441625464828
0.5678632596657811,0.04202926710812422
0.5074172741336448,0.04206141864659874
0.536287722951416,0.046606527479814655
0.5786779822254411,0.04253465429003063
0.4371109753734457,0.04449169694973368
0.5087983855484888,0.041081279975395235
0.5214762185928894,0.04231520507845586
0.5973469928672853,0.03932949235429738
0.4786030781655587,0.04352661397328283
0.4755702168746156,0.044627244412423335
0.5843072825420194,0.0415703134593113
0.6331999995269291,0.04068461647314101
0.4548908477754314,0.04169907831462332
0.4631622952820007,0.04271903856030891
0.5016022101877291,0.042240803732949354
0.36508381983225785,0.04081851342991138
0.512525960384211,0.04227761062757772
0.5403624195404588,0.041030817458034954
0.49612132009088966,0.040671723856623355
0.5504731006939249,0.04146184296044041
0.41413802973169733,0.04135849424890726
0.5528840318142353,0.04124808143907095
0.5009859059435843,0.041860917607952665
0.5375962688021689,0.042495104381750186
0.5309186682575553,0.04593893547548421
0.45161254225606284,0.04076793036861123
0.5546077527638971,0.042900311222196515
0.503459088948449,0.043632668848670696
0.5574707506301341,0.03850167115562045
0.524061860027793,0.04131758224560269
0.554043811685883,0.04160833394901261
0.5176236262459247,0.04261287804905086
0.5853910852273481,0.0373346648451153
0.5150311634406121,0.04411496915927608
0.4567639409518521,0.04080615270721869
0.4544910739811552,0.042758933804705704
0.5196446040463183,0.03991532129093119
0.5188137177529412,0.04354818293196375
0.4476428294166147,0.04305139134801186
0.5436442849178277,0.04595644048100978
0.5675839885343884,0.04057148573830564
0.46172524306590795,0.045783399470785614
0.4435152075196439,0.03909484757736901
0.5498616330413304,0.041305570952416056
0.4229837015585026,0.04233106994968276
0.5811098125222408,0.04173331727526826
0.5182531537788587,0.03909422612633511
0.5516603476437072,0.03908806965429903
0.5706369842388069,0.0423339336993047
0.436683855265585,0.04326406261659162
0.470061632226336,0.040441475951027865
0.45537893419336456,0.04210913069626179
0.5323381308081496,0.04397957723353378
0.47891064734557554,0.042853832407412966
0.6099768954585892,0.04416183385837448
0.47699606557660545,0.04381610862737815
0.5102926436413197,0.04150846034465114
0.4116617184861123,0.04471678774063023
0.5085587799722439,0.04160060915855213
0.5844939569566353,0.04245858618203338
0.5180862685597213,0.04250599844875786
0.43489491168984395,0.04003551504580386
0.5743492113460945,0.04324837356937051
0.4825220174883088,0.04394242283152361
0.3868174858921887,0.048540052718676854
0.5848029361581503,0.04304441886828043
0.4228761222148305,0.044330388897609235
0.4304607203899045,0.046240722015755104
0.4987587757817223,0.046902182437537736
0.5147203627599541,0.042195449640019735
0.5474299133307624,0.03836567492066037
0.45999931174164005,0.045220603677935275
0.5804108813773576,0.03762252156607989
0.5285083218498706,0.04084110118316832
0.5435420721966445,0.04178873597742856
