RF_R2,RF_MAE,XBG_R2,XBG_MAE,NN_R2,NN_MAE,GLM_R2,GLM_MAE
0.6487980054342534,0.03196905957123227,0.6609186381232217,0.03179486812914002,0.5147130175864719,0.03647995798111626,0.4809281595500703,0.0418516883388259
0.7649766422115248,0.027699866518220612,0.8052193608891971,0.02632059716042692,0.6614801392284859,0.03179952331864026,0.5538058768164922,0.0420532097025681
0.6509143543842708,0.03547794378655495,0.6643053827144728,0.03576671312772382,0.5849686600196218,0.03925281023264511,0.485116690689868,0.0442444162546482
0.7096444115296119,0.03567652342102413,0.7372348533297324,0.03411545957761117,0.6415115355443077,0.03875579619469025,0.5678632596657811,0.0420292671081242
0.5755049363679698,0.03646487445974756,0.630912435511542,0.03435028861571838,0.4482445426055328,0.04033021754115675,0.5074172741336448,0.0420614186465987
0.6438129880701385,0.034514071042650155,0.6738231679845021,0.03255173724327465,0.5279486173795138,0.03924140750224805,0.536287722951416,0.0466065274798146
0.6558134856322678,0.035117559479423306,0.6879158643972775,0.03459748121169143,0.5211633439316379,0.04116521947315286,0.5786779822254411,0.0425346542900306
0.6229660169776186,0.03533347962050119,0.6489332300546435,0.03448233668703637,0.4938504534818269,0.04095049853347369,0.4371109753734457,0.0444916969497336
0.711828649700015,0.03275020354201279,0.7272039218320502,0.03187141542668665,0.6501403891166189,0.03600605199034877,0.5087983855484888,0.0410812799753952
0.7385850622444599,0.03142571898026738,0.7505326273945815,0.03191578691440818,0.6239777383853973,0.036634275443083744,0.5214762185928894,0.0423152050784558
0.704291469145983,0.03311051032685097,0.7017559276728046,0.033699874814589685,0.6165070024385346,0.03646888328293389,0.5973469928672853,0.0393294923542973
0.6036323835731995,0.03422670260384546,0.6394097025730372,0.03325635307930811,0.45725772929762165,0.038804093447070365,0.4786030781655587,0.0435266139732828
0.5842531800704835,0.03683457390199993,0.6266860448726082,0.03582499961348534,0.4804018775802764,0.040775282435857506,0.4755702168746156,0.0446272444124233
0.6179482461785787,0.03342875903383305,0.6436374613215571,0.03222528615357905,0.4769898110262989,0.03804759378296486,0.5843072825420194,0.0415703134593113
0.6963199266333964,0.0334814731995174,0.7073748938796595,0.03407742453382466,0.5458246374079585,0.04012248495938373,0.6331999995269291,0.040684616473141
0.6344180177217833,0.03263257779648743,0.6626747746821904,0.03179896314642884,0.5479264402898345,0.03649081613047503,0.4548908477754314,0.0416990783146233
0.6947608235310659,0.032525069389465575,0.6931037163917476,0.03263651173481339,0.629129144933852,0.03499642519663631,0.4631622952820007,0.0427190385603089
0.6760401521122896,0.029426280864806142,0.668529160475095,0.030204718549334566,0.5895982796951668,0.032153406384771155,0.5016022101877291,0.0422408037329493
