ind,aggregation_code,county_name,cohort_2014 Total Cohort - 6 Year Outcome,cohort_2015 Total Cohort - 5 Year Outcome,cohort_2016 Total Cohort - 4 Year Outcome,gender_Female,PUPIL_COUNT_TOT,PER_FEDERAL_EXP,PER_STATE_LOCAL_EXP,PER_TEACH_INEXP,TEACH_PER_PUPIL,ATTENDANCE_RATE,PER_SUSPENSIONS,PER_FREE_LUNCH,cty_pop_under_18,cty_pop_over_65,cty_female,cty_foreign_born,cty_owner_occupied,cty_housing_unit_median_value,cty_pers_pers_household,cty_same_house,cty_non_english,cty_with_computer,cty_with_internet,cty_hs_graduates,cty_uni_degree,cty_time_to_work,cty_med_household_income,cty_poverty,cty_pop_density,COUNSELORS_PER_PUPIL,SOCIAL_PER_PUPIL,dropout_pct
1275,190301040003,GREENE,-0.6938669066484343,-0.7109045313490597,1.395450840937376,-0.9945114843486568,-0.5761934719310394,0.29587412908369964,0.5098312026230107,-0.512919868910459,2.0586190188970033,0.20744794258008284,0.8425651954977542,-0.29610376907338776,-1.4039342132377333,2.171102512916327,-2.5083970888509093,-0.9735761633432161,1.0290049046886718,-0.8188714717601063,-0.07518188926476822,1.58514281560236,-1.058517430605485,-2.2929401450565976,-3.0294755190987455,0.06306021239952962,-0.9022715598710536,-0.37493920345102755,-0.6428827388311893,-0.49140087901980156,-0.7541431371143009,0.35288941489856623,0.7573165208555562,0.054054054054054
5536,421800010071,ONONDAGA,-0.6938669066484343,1.4066586382595332,-0.7166142802481403,1.0055188057028202,0.4793292571212351,0.6095353638787568,-1.1870582554151183,0.4248496086001781,-0.4098016040327298,-0.6932280709635432,0.4749923359012549,1.162830889608679,0.21848006969587053,0.10509972483099901,0.36911481614385927,-0.8349654619757378,0.5105455571058505,-0.9463522594740992,-0.546986194876646,-0.9889466225271576,-0.8822227073946797,-0.3406314097992796,-0.5374490709333797,0.7526645073482892,0.055853990186579765,-1.308442862846461,-0.35324054115217574,-0.1804569830842341,-0.7320906326497664,-0.6993276696267638,0.30155124981620207,0.2179487179487179
1911,280212030005,NASSAU,-0.6938669066484343,-0.7109045313490597,1.395450840937376,-0.9945114843486568,-0.2923683194969249,-0.5537686662677466,1.505323796193975,-0.8478375394499722,0.2746583202436136,0.5934519483844926,-0.44393981308999325,-0.564854890409558,0.31781155640609127,0.38321548476556316,-0.07357932308610513,0.17689265800684623,1.2318803015689064,0.33287495163991426,1.6668647776098526,1.2439984322357998,0.04591715892103137,1.6570798541849479,1.8972894129063482,0.8233931529840594,0.8883237304005894,0.4727250389885044,2.4221383792503053,-1.5602705212983066,-0.5562794193695356,-0.3831827854984961,0.27626975839080353,0.0547945205479452
6811,610600010019,TOMPKINS,1.4411985791774848,-0.7109045313490597,-0.7166142802481403,-0.9945114843486568,-0.6743816327731115,-0.6571734689474357,0.19285606509622544,0.15691547216856747,0.7286077841286396,0.20744794258008284,-0.26015338329174365,-0.7952129944119897,-1.900591646788837,-0.848440023516077,-0.29492639270108734,-0.4953692436254183,0.010119578134606068,-0.7063484298045553,-1.2002536949546279,-5.113692348686516,-0.6488914560862606,2.111105141454092,0.49373428692815213,1.3361758338433913,1.3909469697750856,-1.3299027170854365,-0.41647126645140253,-0.25819295706812556,-0.7480488382195559,0.8315788672740447,2.766328777687733,0.05
1945,280221030001,NASSAU,-0.6938669066484343,1.4066586382595332,-0.7166142802481403,-0.9945114843486568,0.5130814374106973,-0.8622596609288192,0.8851964970626249,-1.0487881417736802,-0.1815001266698751,0.46478394644968885,-0.07636695349349402,-1.447894289085546,0.31781155640609127,0.38321548476556316,-0.07357932308610513,0.17689265800684623,1.2318803015689064,0.33287495163991426,1.6668647776098526,1.2439984322357998,0.04591715892103137,1.6570798541849479,1.8972894129063482,0.8233931529840594,0.8883237304005894,0.4727250389885044,2.4221383792503053,-1.5602705212983066,-0.5562794193695356,0.3208484700020757,0.7363767369587632,0.0
6392,580106030005,SUFFOLK,-0.6938669066484343,1.4066586382595332,-0.7166142802481403,1.0055188057028202,0.05896119351611414,-0.08500022745315555,0.853975637652092,0.15691547216856747,0.21050500193094845,0.07877994064527911,0.4749923359012549,0.510149594935123,0.15225907855572338,0.025638079135409254,-0.3687087492394147,-0.31517533184769775,1.2454053280275892,-0.042768436157317936,1.5216942220369676,1.1509590549540099,-0.2807465929107551,1.4754697392772904,1.3530537518127588,0.6112072160767487,0.1500958475692979,0.022068099970018865,1.7122319805962471,-1.4825345473144151,-0.6886147319202526,0.1665303744400471,0.004753482610412967,0.055045871559633
693,131101040004,DUTCHESS,-0.6938669066484343,1.4066586382595332,-0.7166142802481403,-0.9945114843486568,-0.803253593878331,-0.14187286892698459,2.889289678613556,-0.6468869371262642,2.4040636543590606,-0.04988806128952461,0.8425651954977542,-0.5264618730758194,-0.5761718239858946,0.3434846619177683,-0.7376205319310517,-0.5646745943091578,0.6503041638455681,-0.4615853173936891,-0.03888925037154772,-0.08956597546985735,-0.6540765950042255,1.1576520381888948,1.4962736626268605,0.7349823459393465,0.0794144545322593,0.06498780844796968,0.5743691963286005,-1.0549866904030123,-0.7419367285032433,-1.7638155073243473,1.7861280892224696,0.0
7167,660501060004,WESTCHESTER,-0.6938669066484343,1.4066586382595332,-0.7166142802481403,1.0055188057028202,0.5222865774896416,-0.779535818785068,2.0039042380782117,-0.44593633480255634,0.16767972234361506,1.2367919580585112,-0.627726242888243,-1.2175361850831146,0.41714304311631206,0.06536890198320414,0.1477677465288771,0.38480871005806305,0.3437368974487691,0.39984485878566517,0.5780856108132136,0.37563091093909284,0.2999889659013101,1.1576520381888948,1.1525458766730197,0.29292831071578085,1.1239283738573842,0.3332359864351633,1.4281049341675103,-1.1910246448748223,-0.6615605483569911,0.6545646695709499,-0.1744496909569146,0.0068965517241379
2622,310200011630,NEW YORK,1.4411985791774848,-0.7109045313490597,-0.7166142802481403,-0.9945114843486568,1.1497702928710083,-0.8122806729669695,-0.7309000499818347,1.0946849496792044,-1.1223309048882544,0.07877994064527911,-0.627726242888243,-0.06574566507095615,-2.0330336290691315,-0.09355438940797427,0.9593736684504786,0.585794227040905,-1.3378747255807295,2.0329587365937227,-1.599472722780063,-1.4231303831755144,0.5644310507175176,0.7944318083735799,0.8088180907191758,0.15147101944424238,2.105614388260697,-0.01012168138844406,0.9599459986505878,0.4997327892748157,2.2840727570743065,-0.7658581594828445,0.026179142781537445,0.0335570469798657
2826,310500011362,NEW YORK,-0.6938669066484343,-0.7109045313490597,1.395450840937376,-0.9945114843486568,-0.03155601726017102,-0.7847060589190523,-0.7306617228107619,0.3578660744922754,-1.0250580576904447,0.5934519483844926,-0.627726242888243,-0.4112828210746037,-2.0330336290691315,-0.09355438940797427,0.9593736684504786,0.585794227040905,-1.3378747255807295,2.0329587365937227,-1.599472722780063,-1.4231303831755144,0.5644310507175176,0.7944318083735799,0.8088180907191758,0.15147101944424238,2.105614388260697,-0.01012168138844406,0.9599459986505878,0.4997327892748157,2.2840727570743065,-0.7175240429207284,-0.6260179528269192,0.0
