,county_name,cty_pop_under_18,cty_pop_over_65,cty_female,cty_foreign_born,cty_owner_occupied,cty_housing_unit_median_value,cty_pers_pers_household,cty_same_house,cty_non_english,cty_with_computer,cty_with_internet,cty_hs_graduates,cty_uni_degree,cty_time_to_work,cty_med_household_income,cty_poverty,cty_pop_density
43,MADISON,0.19,0.18899999999999997,0.506,0.027000000000000003,0.785,140000,2.53,0.9009999999999999,0.044000000000000004,0.885,0.83,0.9259999999999999,0.266,24.0,61176,0.10400000000000001,103.86659336631848
44,TIOGA,0.20600000000000002,0.209,0.503,0.019,0.779,119800,2.32,0.8959999999999999,0.027000000000000003,0.903,0.8590000000000001,0.9179999999999999,0.261,23.8,61965,0.09300000000000001,93.43424604704974
45,FULTON,0.201,0.201,0.503,0.018000000000000002,0.6970000000000001,120100,2.33,0.894,0.025,0.8759999999999999,0.797,0.884,0.182,24.5,51663,0.139,107.62306496861565
46,HAMILTON,0.13699999999999998,0.319,0.5,0.017,0.853,170500,3.05,0.9179999999999999,0.03,0.862,0.795,0.795,0.19899999999999998,23.5,60625,0.087,2.9737330918788616
47,OTSEGO,0.157,0.217,0.515,0.037000000000000005,0.722,150700,2.28,0.868,0.06,0.8909999999999999,0.813,0.9259999999999999,0.33399999999999996,23.0,56171,0.128,58.42467804731955
48,ORANGE,0.255,0.14300000000000002,0.499,0.115,0.6779999999999999,278400,2.85,0.91,0.249,0.898,0.843,0.899,0.308,34.4,80816,0.106,494.4128916211854
49,ORLEANS,0.193,0.184,0.501,0.028999999999999998,0.7509999999999999,101400,2.26,0.8959999999999999,0.061,0.868,0.821,0.877,0.163,25.6,52958,0.132,103.11046363032256
50,ERIE,0.20199999999999999,0.184,0.516,0.07200000000000001,0.648,160700,2.27,0.878,0.10800000000000001,0.897,0.8440000000000001,0.92,0.35100000000000003,21.3,59464,0.132,915.1674994485417
51,TOMPKINS,0.147,0.151,0.509,0.127,0.54,218700,2.18,0.726,0.154,0.9520000000000001,0.861,0.945,0.531,19.8,61361,0.124,222.77467607710946
52,LIVINGSTON,0.17600000000000002,0.183,0.498,0.033,0.763,134000,2.33,0.855,0.071,0.909,0.8490000000000001,0.9179999999999999,0.275,25.1,60248,0.10300000000000001,97.87577561099151
53,KINGS,0.22699999999999998,0.14400000000000002,0.526,0.35600000000000004,0.303,734800,2.61,0.907,0.445,0.894,0.83,0.8320000000000001,0.38799999999999996,43.0,63973,0.17800000000000002,38634.19937870658
54,DUTCHESS,0.187,0.18100000000000002,0.503,0.11699999999999999,0.682,290700,2.5,0.888,0.153,0.9309999999999999,0.8959999999999999,0.9109999999999999,0.364,32.8,81842,0.083,371.9203649937785
55,COLUMBIA,0.17,0.244,0.5,0.066,0.732,236500,2.27,0.91,0.073,0.907,0.8220000000000001,0.909,0.337,25.8,68750,0.102,97.00493138598729
56,LEWIS,0.228,0.19,0.493,0.013000000000000001,0.809,122800,2.51,0.93,0.03,0.871,0.8109999999999999,0.9129999999999999,0.183,24.4,56192,0.114,20.85386136128283
57,DELAWARE,0.163,0.252,0.494,0.044000000000000004,0.755,144000,2.24,0.902,0.062,0.87,0.794,0.895,0.221,26.1,49945,0.128,30.717395524250573
58,CLINTON,0.179,0.177,0.486,0.044000000000000004,0.679,139600,2.3,0.8420000000000001,0.059000000000000004,0.899,0.823,0.88,0.244,19.3,59510,0.111,76.93115575468518
59,NIAGARA,0.19899999999999998,0.195,0.512,0.039,0.7170000000000001,131600,2.29,0.91,0.048,0.8859999999999999,0.825,0.915,0.256,22.9,57252,0.11699999999999999,407.1253541618807
60,WYOMING,0.187,0.18600000000000003,0.45799999999999996,0.02,0.7659999999999999,118800,2.34,0.905,0.035,0.888,0.81,0.905,0.18,25.7,58746,0.096,68.37789962041333
61,CAYUGA,0.195,0.198,0.48700000000000004,0.019,0.7090000000000001,131700,2.35,0.878,0.037000000000000005,0.885,0.8170000000000001,0.882,0.22,23.3,57985,0.11699999999999999,110.25188698342924
